p_archivos,ej5,ej6
3,81773803,96446299
4,73556068,89014603
5,80121277,83008411
6,100616993,84823049
7,87934806,81119574
8,81004014,79320607
9,86493575,77494558
10,107093177,79512654
11,106973314,73555139
12,97327191,73495118
13,114498853,77227087
14,121043256,78030369
15,99448551,85161787
16,116010941,84566927
17,149456809,89985489
18,137539352,89415689
19,125007599,84482871
20,124199136,90231392
21,148150530,84277786
22,161195483,86472569
23,137088994,85557205
24,134197347,89982799
25,141097396,85151583
26,143550694,86408822
27,146529970,85992016
28,169074095,88825116
29,173960744,83934775
30,150220545,83748008
31,161604944,83047361
32,175429006,74610474
33,131742418,75363423
34,140061156,71718949
35,135364978,74123900
36,139375228,74560477
37,146115808,75005268
38,142730757,71294909
39,140971131,72252619
40,152272025,73599259
41,145618112,71983484
42,147029638,70839068
43,154234065,74534458
44,160353448,72419297
45,174936435,74743457
46,144310356,71192247
47,149553172,70698136
48,142116280,74783363
49,156811149,69449591
50,148792874,73627538
51,165616295,80081643
52,165798537,81826503
53,169911954,80465630
54,185886118,86889187
55,163177033,85129505
56,189491308,85704760
57,167573147,82070808
58,167441592,82433408
59,167430292,82996109
60,184638194,83813974
61,173400533,84466871
62,168269036,82932522
63,165113307,84393284
64,166285617,88335339
65,175687763,85826725
66,180631005,122147871
67,272409185,123887364
68,221640363,119365668
69,229869223,115615774
70,225238088,115357491
71,247770341,123999652
72,240267345,118207717
73,244214135,117330818
74,233356519,113673907
75,264874392,117106154
76,280910515,117231421
77,214576003,99456145
78,193705709,92173869
79,223373596,94852715
80,186439958,97964282
81,191400312,91134246
82,188731348,96662885
83,210798300,95030414
84,197771266,97808806
85,214317226,89856280
86,201509488,95510994
87,211055298,93616398
88,207761652,94230599
89,205897084,94467025
90,211376891,84901018
91,174153449,85014463
92,160016152,84167635
93,183940758,80111291
94,172984490,87788918
95,170521111,83509822
96,170541406,78961684
97,171666369,83398106
98,196674592,81928717
99,175305042,82199024
100,181993023,85581058
1,174214839,173889245
2,117371015,138706360
3,95635062,116581553
4,83956844,103412771
5,104531452,101041743
6,82680693,83901631
7,88107687,81225705
8,87205282,81155796
9,88521042,78167421
10,107046112,75904957
11,95832546,78582423
12,92577958,77504324
13,98436086,78157179
14,98424310,78009446
15,101831862,73842048
16,103561625,77582542
17,110153642,77000211
18,108821820,77023890
19,110611069,71904779
20,106116921,73384211
21,115204978,76653371
22,114465765,77213639
