p_archivos,ej5-load,ej5-merge,ej6
81,18185196,19965877,11665769
82,10336380,15187373,10786377
83,9692665,16703564,11517179
84,9335665,16199985,11339685
85,13617274,19319776,10982143
86,11730657,18616120,11326662
87,10499013,16583004,10647343
88,12858187,18416252,10973143
89,10371444,17120414,12769749
90,15650229,19726812,10899123
91,13179966,18812491,11154900
92,14923249,19170706,11432993
93,15485218,19114044,11087264
94,9459865,17059600,11367372
95,10920184,18461143,10943423
96,14039549,19847089,12716799
97,10414664,17263268,11429442
98,9235214,16030700,12216695
99,11655920,17379189,11188246
100,19079752,19808822,11156787
1,142961140,10441348,58123591
2,27256580,15917643,18781798
3,11429234,14948407,13071243
4,6915329,14503348,10783924
5,10604658,16854331,10642821
6,8499252,15327879,10417995
7,8293496,16520222,10467803
8,7297406,16001620,10346629
9,10254019,17540695,10634302
10,7438416,14839736,10366701
11,8279027,14882819,10482470
12,7448308,15646034,10276370
13,8554243,15963411,10104231
14,8376854,17325434,10120533
15,9142573,17363873,10770880
16,9464485,16920673,10143477
17,8255632,14824660,10396917
18,8344400,15646978,10331948
19,9695987,16831740,10002531
20,9130105,17552067,11372409
21,11538464,17305908,10117014
22,8732653,15703876,10670786
23,10581115,18772746,10249504
24,9630309,18078277,10640382
25,9956683,17035705,10004418
26,11127816,18243472,10419236
27,9002285,15401339,10078387
28,8517732,15901555,10610050
29,10013790,18055404,11193219
30,8989654,15535855,10241739
31,11350221,17865753,10178689
32,11526203,18108792,11366721
33,11082344,18327824,10301909
34,11415801,17277119,9940522
35,11480101,16864572,11292442
36,12020225,18291122,10150278
37,8851780,17595509,10076392
38,13698174,20149350,10432173
39,8873822,15281567,10386500
40,9212463,15246742,10201965
41,8875152,15642403,11806064
42,9459626,16534162,10741000
43,9856980,15510494,10163636
44,14056145,19224174,10412399
45,9020707,16964366,10275290
46,13608682,18551628,10432486
47,10131511,15866715,10703342
48,9322123,16808961,11210635
49,9410298,15748848,12314402
50,9254883,17862928,10549594
51,13039881,18084988,10659106
52,11307523,18176201,10789887
53,8849016,15811862,11084091
54,9048724,15763970,10545954
55,9878597,15928939,11340507
56,12650956,19128044,12520442
57,16250941,21434936,10814312
58,9661871,15401959,10570496
59,9231194,16846599,10125607
60,9890519,16594097,12103970
61,14317006,18741705,11193241
62,13973376,18641788,26741425
63,13393536,16621079,10447646
64,15282585,18886178,10623967
65,15127252,18982894,11083909
66,15874535,19185319,11616070
67,9663937,17606249,10995814
68,11769911,17951421,11371515
69,11138276,18227758,11253070
70,15959594,18799784,11038214
71,9513710,15618601,11634204
72,10419830,15881482,11690849
73,14094403,19729145,10482439
74,10388090,17186992,13732326
75,17079252,19934353,10508340
76,16433461,19015303,11122373
77,11629171,16685944,11912015
78,9270201,16558328,10556370
79,10909830,17969769,10842635
80,10039319,16696907,11137870
81,13410868,17704058,11136430
82,9234114,15896921,10888727
83,13226007,18172373,10587030
84,9708547,16060057,11930021
85,11322262,17433295,11909036
86,10192601,16682455,12129046
87,10582218,18123607,10731608
88,9897307,16103801,12989687
89,20845736,22178404,10980136
90,9776534,17941008,12543389
91,17280600,21017420,10914804
92,13042720,17726402,11720309
93,9805903,15972248,10983024
94,10125952,15528642,12309749
95,13412671,18689400,11126348
96,10597597,16725732,12298288
97,10531142,18083226,10689710
98,10090435,15761445,11300754
99,18575508,21370215,10949670
100,10338422,16520482,10827301
1,145486539,12445014,58248199
2,26536326,16374511,18451031
3,11539448,14595173,12699078
4,6644247,14693587,10589698
5,6557520,14560581,10437148
6,7615302,15523083,10382477
7,7091346,14803480,10343788
8,7222409,16296806,10334636
9,8432785,16285003,9910777
10,7795154,15103326,10073208
11,8839603,16600545,10034938
12,9465132,16411235,9874844
